sample	time	L_monocytogenes	S_enterica	B_cereus	S_aureus	S_epidermidis	E_faecalis	total_cfu	seq_id	Observed_Seq	Observed_QC	Observed_Pool	Observed_other	Available_Seq	Available_QC	Available_Pool	Available_other	Mean_Sample_Cov_Pool	seq_code	size_factor
190616360803.1.1.1	T7	2000	2000	200	2000	200	2000	8400	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1
190616360804.1.1.1	T7	2000	2000	200	2000	200	2000	8400	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1
190616360805.1.1.1	T7	2000	2000	200	2000	200	2000	8400	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1
190616360806.1.1.1	T7	2000	2000	200	2000	200	2000	8400	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1
190616360807.1.1.1	T7	2000	2000	200	2000	200	2000	8400	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1
190616360808.1.1.1	T30	2000	2000	200	2000	200	2000	8400	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1
190616360809.1.1.1	T30	2000	2000	200	2000	200	2000	8400	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1
190616360810.1.1.1	T30	2000	2000	200	2000	200	2000	8400	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1
190616360811.1.1.1	T30	2000	2000	200	2000	200	2000	8400	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1
190616360812.1.1.1	T30	2000	2000	200	2000	200	2000	8400	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1
190616360813.1.1.1	T0	20000	20000	2000	20000	2000	20000	84000	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1
190616360814.1.1.1	T0	20000	20000	2000	20000	2000	20000	84000	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1
190616360815.1.1.1	T0	20000	20000	2000	20000	2000	20000	84000	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1
190616360816.1.1.1	T0	20000	20000	2000	20000	2000	20000	84000	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1
190616360817.1.1.1	T0	20000	20000	2000	20000	2000	20000	84000	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1
190616360818.1.1.1	T7	20000	20000	2000	20000	2000	20000	84000	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1
190616360819.1.1.1	T7	20000	20000	2000	20000	2000	20000	84000	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1
190616360820.1.1.1	T7	20000	20000	2000	20000	2000	20000	84000	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1
190616360821.1.1.1	T7	20000	20000	2000	20000	2000	20000	84000	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1
