sample	oligotype_0_86	oligotype_10_215	oligotype_11_13	oligotype_12_10	oligotype_1_238291	oligotype_2_186480	oligotype_3_154697	oligotype_4_135193	oligotype_5_99638	oligotype_6_58206	oligotype_7_21892	oligotype_8_2798	oligotype_9_1202
190616360755.1.1.3	1	0	0	0	0	0	0	0	0	0	0	0	0
190616360757.1.1.3	0	0	0	10	0	0	0	0	0	0	0	0	0
190616360758.1.1.3	0	28	0	0	0	0	0	0	0	0	0	0	0
190616360759.1.1.3	1	0	0	0	0	0	0	0	0	0	0	0	0
190616360760.1.1.3	1	24	0	0	0	0	0	0	0	0	0	0	0
190616360761.1.1.3	1	16	0	0	0	0	0	0	0	0	0	0	0
190616360762.1.1.3	0	0	0	0	0	0	0	0	0	11	0	0	0
190616360765.1.1.3	1	0	0	0	0	0	0	0	0	0	0	0	0
190616360766.1.1.3	1	0	0	0	0	0	0	0	0	0	0	0	0
190616360767.1.1.3	1	0	0	0	0	0	0	0	0	0	0	0	0
190616360768.1.1.3	1	0	0	0	0	0	0	0	0	0	0	0	0
190616360771.1.1.3	1	0	0	0	0	0	0	0	0	0	0	0	0
190616360773.1.1.3	1	23	0	0	0	0	0	0	0	0	0	0	0
190616360774.1.1.3	1	0	0	0	0	0	0	0	0	0	0	0	0
190616360776.1.1.3	1	0	0	0	0	0	0	0	0	10	0	0	0
190616360777.1.1.3	1	0	0	0	0	0	0	0	0	0	0	0	0
190616360779.1.1.3	1	0	0	0	0	0	0	0	0	0	0	0	0
190616360781.1.1.3	1	0	0	0	0	0	0	0	0	0	0	0	0
190616360782.1.1.3	1	0	0	0	0	0	0	0	0	0	0	0	0
