	class	family	genus	kingdom	order	otu	phylum	species
0	Bacilli	Bacillaceae	Bacillus	Bacteria	Bacillales	oligotype_1_282321	Firmicutes	Bacillus cereus
1	Gammaproteobacteria	Enterobacteriaceae	Escherichia	Bacteria	Enterobacterales	oligotype_2_226682	Proteobacteria	Escherichia coli
2	Gammaproteobacteria	Enterobacteriaceae	Salmonella	Bacteria	Enterobacterales	oligotype_3_190098	Proteobacteria	Salmonella enterica
3	Bacilli	Enterococcaceae	Enterococcus	Bacteria	Lactobacillales	oligotype_4_157097	Firmicutes	Enterococcus faecalis
4	Bacilli	Listeriaceae	Listeria	Bacteria	Bacillales	oligotype_5_116061	Firmicutes	Listeria monocytogenes
5	Bacilli	Staphylococcaceae	Staphylococcus	Bacteria	Bacillales	oligotype_6_66785	Firmicutes	Staphylococcus aureus
6	Bacilli	Staphylococcaceae	Staphylococcus	Bacteria	Bacillales	oligotype_7_25417	Firmicutes	Staphylococcus epidermidis
7	Gammaproteobacteria	Enterobacteriaceae	Serratia	Bacteria	Enterobacterales	oligotype_8_3293	Proteobacteria	Serratia proteamaculans
8	Gammaproteobacteria	Enterobacteriaceae	Serratia	Bacteria	Enterobacterales	oligotype_9_1388	Proteobacteria	Serratia proteamaculans
9	Gammaproteobacteria	Enterobacteriaceae	Serratia	Bacteria	Enterobacterales	oligotype_10_191	Proteobacteria	Serratia proteamaculans
10	Gammaproteobacteria	Pseudomonadaceae	Pseudomonas	Bacteria	Pseudomonadales	oligotype_11_29	Proteobacteria	Pseudomonas aeruginosa
11						oligotype_0_87		
