sample	oligotype_0_89	oligotype_10_41	oligotype_11_37	oligotype_1_177262	oligotype_2_106760	oligotype_3_91247	oligotype_4_61426	oligotype_5_56719	oligotype_6_30819	oligotype_7_11299	oligotype_8_1355	oligotype_9_384
190616360753.1.1.4	0	0	0	0	0	41	0	0	0	0	23	0
190616360754.1.1.4	1	0	0	0	0	58	0	0	0	0	14	0
190616360756.1.1.4	0	0	0	0	0	49	0	0	0	0	19	24
190616360758.1.1.4	1	0	0	0	0	61	0	0	0	0	32	19
190616360759.1.1.4	1	0	0	0	0	84	0	0	0	0	26	16
190616360760.1.1.4	0	14	0	0	0	47	0	0	0	0	34	0
190616360761.1.1.4	1	13	0	0	0	43	0	0	0	0	0	0
190616360762.1.1.4	1	0	0	0	0	61	0	0	0	0	15	10
190616360764.1.1.4	1	0	0	0	0	45	0	0	0	0	18	0
190616360765.1.1.4	1	0	0	0	0	57	0	0	0	0	29	0
190616360766.1.1.4	1	0	0	0	0	54	0	0	0	0	38	0
190616360767.1.1.4	1	0	0	0	0	52	0	0	0	0	20	0
190616360768.1.1.4	1	0	0	0	0	71	0	0	0	0	40	0
190616360770.1.1.4	1	0	0	0	0	56	0	0	0	0	16	20
190616360771.1.1.4	1	0	0	0	0	74	0	0	0	0	29	14
190616360773.1.1.4	1	0	0	0	0	82	0	0	0	0	28	13
190616360774.1.1.4	1	0	0	0	0	51	0	0	0	0	27	0
190616360776.1.1.4	1	0	0	0	0	68	0	0	0	0	18	0
190616360777.1.1.4	1	0	0	0	0	66	0	0	0	0	20	0
190616360779.1.1.4	1	0	0	0	0	44	0	0	0	0	22	0
190616360780.1.1.4	1	0	0	0	0	48	0	0	0	0	23	0
190616360781.1.1.4	1	0	0	0	0	47	0	0	0	0	23	0
190616360782.1.1.4	1	0	0	0	0	56	0	0	0	0	25	0
