sample	oligotype_0_89	oligotype_10_41	oligotype_11_37	oligotype_1_177262	oligotype_2_106760	oligotype_3_91247	oligotype_4_61426	oligotype_5_56719	oligotype_6_30819	oligotype_7_11299	oligotype_8_1355	oligotype_9_384
190616360755.1.1.4	0	0	0	11	0	78	0	0	0	0	22	0
190616360757.1.1.4	1	0	0	17	0	73	0	0	0	0	33	13
190616360763.1.1.4	1	0	0	15	0	47	0	0	0	0	18	12
190616360769.1.1.4	1	0	0	12	0	65	0	0	0	0	18	0
190616360772.1.1.4	1	14	0	16	0	52	0	0	0	0	28	0
190616360775.1.1.4	1	0	0	12	0	56	0	0	0	0	22	11
190616360778.1.1.4	1	0	0	11	0	49	0	0	0	0	17	0
190616360783.1.1.4	0	0	0	46	13	71	27	18	45	0	0	14
190616360784.1.1.4	0	0	0	65	25	107	24	43	20	12	36	0
190616360785.1.1.4	1	0	0	29	15	79	32	0	23	0	27	0
190616360786.1.1.4	1	0	0	49	0	80	0	11	22	0	18	0
190616360787.1.1.4	1	0	0	25	0	35	17	22	0	0	14	0
190616360788.1.1.4	1	0	0	45	12	90	18	20	22	0	39	20
190616360789.1.1.4	1	0	0	30	22	62	30	22	23	0	20	0
190616360790.1.1.4	1	0	0	38	12	70	25	24	32	0	31	0
190616360791.1.1.4	1	0	0	47	11	53	13	11	17	0	27	14
190616360792.1.1.4	1	0	0	27	0	74	10	0	16	0	30	16
190616360793.1.1.4	1	0	0	57	15	62	31	17	25	0	17	0
190616360794.1.1.4	1	0	0	32	11	40	20	14	0	0	0	0
190616360795.1.1.4	1	0	0	38	29	56	48	16	15	0	15	17
190616360796.1.1.4	1	0	0	55	20	70	29	20	21	0	19	14
190616360797.1.1.4	1	0	0	42	12	61	27	22	0	0	16	16
190616360798.1.1.4	1	0	0	392	110	176	162	96	131	42	20	0
190616360799.1.1.4	1	0	0	581	149	217	151	234	182	59	21	15
190616360800.1.1.4	1	0	0	896	222	320	414	368	316	86	27	0
190616360801.1.1.4	0	0	37	440	93	175	171	190	119	50	29	12
190616360802.1.1.4	1	0	0	459	142	166	221	177	142	39	15	11
190616360803.1.1.4	1	0	0	629	182	299	239	259	208	46	19	0
190616360804.1.1.4	1	0	0	654	165	278	258	313	286	52	29	14
190616360805.1.1.4	1	0	0	453	217	152	160	280	132	62	11	0
190616360806.1.1.4	1	0	0	685	333	352	321	406	294	67	15	16
190616360807.1.1.4	1	0	0	624	377	286	462	301	223	47	15	12
190616360808.1.1.4	1	0	0	402	351	203	221	143	132	0	34	16
190616360809.1.1.4	1	0	0	417	174	197	248	147	138	28	15	11
190616360810.1.1.4	1	0	0	439	146	251	312	167	158	27	13	0
190616360811.1.1.4	1	0	0	600	369	261	451	208	232	39	27	14
190616360812.1.1.4	1	0	0	544	244	205	344	192	203	70	36	0
190616360813.1.1.4	1	0	0	3537	1985	2340	1004	1510	1020	362	0	0
190616360814.1.1.4	1	0	0	3650	1429	1713	866	1378	1115	262	0	0
190616360815.1.1.4	1	0	0	3541	2037	1826	716	1576	955	303	23	0
190616360816.1.1.4	1	0	0	3850	2496	2345	1234	1135	876	230	0	0
190616360817.1.1.4	1	0	0	3172	1902	2155	1043	1099	725	224	0	0
190616360818.1.1.4	1	0	0	3479	1939	2035	949	763	1025	206	0	0
190616360819.1.1.4	1	0	0	3343	1624	1948	1116	1148	850	208	0	0
190616360820.1.1.4	1	0	0	3656	1632	2423	811	1145	1139	226	0	0
190616360821.1.1.4	1	0	0	3951	2994	2598	956	1497	937	187	0	0
190616360822.1.1.4	1	0	0	3408	1875	1818	1172	1118	626	195	0	0
190616360823.1.1.4	1	0	0	3206	1014	1895	1177	1031	897	202	0	0
190616360824.1.1.4	1	0	0	3240	1494	1974	742	1088	1155	178	0	0
190616360825.1.1.4	1	0	0	4676	1737	3107	1405	1489	611	281	0	0
190616360826.1.1.4	1	0	0	3710	2567	2418	1408	1137	1151	216	0	0
190616360827.1.1.4	1	0	0	2790	1269	1986	1227	861	762	253	0	0
190616360828.1.1.4	1	0	0	6034	5309	2715	1122	1770	1021	401	0	0
190616360829.1.1.4	1	0	0	5958	3370	2751	1187	1896	1195	426	0	0
190616360830.1.1.4	1	0	0	6051	4787	3175	1592	2025	1155	393	0	0
190616360831.1.1.4	1	0	0	6955	4430	3708	1567	1803	1084	439	0	0
190616360832.1.1.4	1	0	0	4772	3012	2581	1154	1445	1061	268	0	0
190616360833.1.1.4	1	0	0	6742	4740	3029	2665	1798	1006	361	0	0
190616360834.1.1.4	1	0	0	5708	3610	2912	2484	1717	903	422	0	0
190616360835.1.1.4	1	0	0	6219	4166	3502	2221	1765	755	367	0	0
190616360836.1.1.4	1	0	0	4674	2624	2224	1556	1216	523	228	0	0
190616360837.1.1.4	1	0	0	4799	3801	2349	1506	1653	516	272	0	0
190616360838.1.1.4	1	0	0	6210	3799	2143	2893	1605	756	293	0	0
190616360839.1.1.4	1	0	0	5711	3182	2484	2477	1202	627	280	0	0
190616360840.1.1.4	1	0	0	6228	3294	2116	2144	1673	1213	342	0	0
190616360841.1.1.4	1	0	0	5959	3157	2385	2431	1834	692	325	0	0
190616360842.1.1.4	1	0	0	6491	3618	3315	3460	1925	125	330	0	0
190616360843.1.1.4	1	0	0	5700	4760	1819	955	1985	221	403	0	0
190616360844.1.1.4	1	0	0	4758	3699	1381	758	1514	293	278	0	0
190616360845.1.1.4	1	0	0	3582	3055	2159	2761	1232	145	357	0	0
190616360846.1.1.4	1	0	0	4162	2692	2235	2550	1528	176	231	0	0
190616360847.1.1.4	1	0	0	4042	1729	1481	1803	1594	179	345	0	0
190616360848.1.1.4	1	0	0	4364	2461	1919	1828	1823	152	279	0	0
