sample	time	E_coli	L_monocytogenes	S_enterica	B_cereus	S_aureus	S_epidermidis	E_faecalis	total_cfu	seq_id
190616360829.1.1.4	T0	200000	200000	200000	20000	200000	20000	200000	1040000	seq4
190616360830.1.1.4	T0	200000	200000	200000	20000	200000	20000	200000	1040000	seq4
190616360831.1.1.4	T0	200000	200000	200000	20000	200000	20000	200000	1040000	seq4
190616360832.1.1.4	T0	200000	200000	200000	20000	200000	20000	200000	1040000	seq4
190616360833.1.1.4	T7	200000	200000	200000	20000	200000	20000	200000	1040000	seq4
190616360834.1.1.4	T7	200000	200000	200000	20000	200000	20000	200000	1040000	seq4
190616360835.1.1.4	T7	200000	200000	200000	20000	200000	20000	200000	1040000	seq4
190616360836.1.1.4	T7	200000	200000	200000	20000	200000	20000	200000	1040000	seq4
190616360837.1.1.4	T7	200000	200000	200000	20000	200000	20000	200000	1040000	seq4
190616360838.1.1.4	T30	200000	200000	200000	20000	200000	20000	200000	1040000	seq4
190616360839.1.1.4	T30	200000	200000	200000	20000	200000	20000	200000	1040000	seq4
190616360840.1.1.4	T30	200000	200000	200000	20000	200000	20000	200000	1040000	seq4
190616360841.1.1.4	T30	200000	200000	200000	20000	200000	20000	200000	1040000	seq4
190616360842.1.1.4	T30	200000	200000	200000	20000	200000	20000	200000	1040000	seq4
